,State/territory,Region Code,Region Name,Number,Mid Latitude,Mid Longitude,Radius (m)
0,WA,501.0,Bunbury,1598,-33.77479075399194,115.78801965564516,259975.61543088785
1,WA,502.0,Mandurah,1266,-32.58428620408162,115.772536510204,34038.225809433454
2,WA,503.0,Perth - Inner,1527,-31.987769792682904,115.80391942682918,215989.50790121593
3,WA,504.0,Perth - North East,1244,-31.84626201835295,116.03104875529417,69896.48376575488
4,WA,505.0,Perth - North West,1772,-31.798899886956573,115.79433592173913,121544.6305999212
5,WA,506.0,Perth - South East,2607,-32.08254872580646,115.98713611290323,203313.74893815356
6,WA,507.0,Perth - South West,3083,-32.152058832499996,115.80640358365378,67210.0158905608
7,WA,509.0,Western Australia - Wheat Belt,1308,-32.44429869847821,117.39198975295038,765064.0463569025
8,WA,510.0,Western Australia - Outback (North),5712,-19.947727647256634,120.79377825309737,1944829.7748395244
9,WA,511.0,Western Australia - Outback (South),2184,-28.910202564874044,118.02428052997192,2255197.1730290945
